"","ASPEN-Q-1-A","ASPEN-Q-18-A","ASPEN-Q-6-A","ASPEN-Q-12-A","ASPEN-Q-12-B","ASPEN-Q-14-A","ASPEN-Q-14-B","ASPEN-Q-15-A","ASPEN-Q-2-A","ASPEN-Q-5-A","ASPEN-Q-7-A","ASPEN-Q-10-A","ASPEN-Q-10-B","ASPEN-Q-11-B","ASPEN-Q-16-B","ASPEN-Q-1-B","ASPEN-Q-2-B","ASPEN-Q-6-B","ASPEN-Q-8-B","ASPEN-Q-11-A","ASPEN-Q-15-B","ASPEN-Q-17-A","ASPEN-Q-3-B","ASPEN-Q-5-B","ASPEN-Q-16-A","ASPEN-Q-3-A","ASPEN-Q-9-A","ASPEN-Q-17-B","ASPEN-Q-18-B","ASPEN-Q-4-B","ASPEN-X-9-A","ASPEN-X-9-B","ASPEN-Q-13-A","ASPEN-X-13-B","ASPEN-X-8-B","ASPEN-X-11-A","ASPEN-X-11-B","ASPEN-Q-9-B","ASPEN-Q-8-A","ASPEN-Q-13-B","ASPEN-X-7-A","ASPEN-X-7-B","ASPEN-X-4-A","ASPEN-X-8-A","ASPEN-X-10-A","ASPEN-X-10-B","ASPEN-X-12-A","ASPEN-X-12-B","ASPEN-X-5-A","ASPEN-X-4-B","ASPEN-Q-7-B","ASPEN-X-2-A","ASPEN-X-2-B","ASPEN-X-3-A","ASPEN-X-6-A","ASPEN-X-15-A","ASPEN-X-6-B","ASPEN-X-3-B","ASPEN-X-16-A","ASPEN-X-1-A","ASPEN-X-15-B","ASPEN-X-1-B","ASPEN-X-16-B","ASPEN-X-14-A","ASPEN-X-14-B","ASPEN-X-13-A","ASPEN-W-1-A","ASPEN-W-4-B","ASPEN-W-10-A","ASPEN-W-11-B","ASPEN-W-12-A","ASPEN-W-12-B","ASPEN-W-13-A","ASPEN-W-15-A","ASPEN-W-15-B","ASPEN-W-16-A","ASPEN-W-16-B","ASPEN-W-1-B","ASPEN-W-4-A","ASPEN-W-5-A","ASPEN-W-5-B","ASPEN-W-9-A","ASPEN-W-9-B","ASPEN-W-10-B","ASPEN-W-13-B","ASPEN-W-14-A","ASPEN-W-14-B","ASPEN-W-11-A","ASPEN-W-3-B","ASPEN-W-3-A","ASPEN-W-7-B","ASPEN-W-2-B","ASPEN-W-7-A","ASPEN-W-8-B","ASPEN-W-6-A","ASPEN-W-8-A","ASPEN-W-2-A","ASPEN-W-6-B"
"1941",1.807,1.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1942",1.159,1.628,2.281,1.634,2.059,1.945,1.634,1.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943",1.114,1.698,2.665,1.678,1.908,1.982,1.514,1.857,1.137,2.112,2.411,2.602,2.226,2.403,1.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1944",1.694,1.954,2.351,1.99,2.339,2.419,2.213,2.104,2.516,2.212,1.952,2.272,2.372,2.657,1.917,2.022,1.688,2.189,1.717,2.072,1.9,2.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1945",1.582,2.268,1.922,1.7,1.764,2.293,1.832,1.545,1.992,1.993,1.657,1.668,1.827,2.4,1.969,1.224,0.926,2.514,1.486,2.396,1.755,2.257,1.609,2.049,2.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1946",1.381,0.602,2.075,1.412,1.84,1.688,1.948,1.245,2.247,1.096,1.192,2.107,2.288,2.23,2.475,1.134,0.469,2.074,1.92,2.587,1.668,2.309,1.532,0.785,2.25,2.029,1.25,3.622,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1947",1.762,1.32,2.031,1.895,1.83,1.759,1.9,1.494,1.689,1.028,1.959,1.785,2.451,2.435,2.079,1.603,1.159,2.147,1.589,2.386,1.525,2.062,1.981,1.621,2.688,2.426,1.967,2.627,1.486,1.483,0.605,0.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1948",1.464,1.519,2.2,1.563,1.736,1.577,1.286,1.016,4.403,1.653,2.419,2.115,2.514,2.194,1.833,1.248,1.993,3.071,1.89,2.585,1.491,2.2,1.962,2.76,2.019,1.005,1.55,2.636,1.849,2.445,0.89,0.741,1.667,0.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1949",1.415,2.323,2.56,1.739,1.903,2.159,2.519,1.322,3.932,2.138,3.009,2.453,2.868,1.927,2.235,1.447,3.824,3.836,2.211,2.251,1.883,2.544,2.613,3.572,1.98,2.092,1.575,2.605,2.509,2.695,0.997,0.994,1.778,0.426,0.523,0.807,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",1.633,2.323,2.193,2.053,2.227,2.577,2.665,1.27,3.937,2.431,2.423,2.981,2.917,2.313,2.252,1.632,3.428,3.51,2.265,2.407,1.986,2.236,1.921,2.98,2.159,2.597,1.899,2.605,2.765,2.562,1.326,1.189,1.701,0.552,0.728,0.699,0.629,1.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
